source|target|weight
ur.015352665653.34|ur.012561425621.14|3
ur.015352665653.34|ur.013112540471.56|1
ur.015352665653.34|ur.0721257210.28|1
ur.015352665653.34|ur.010470711175.29|1
ur.015352665653.34|ur.011615534125.81|1
ur.015352665653.34|ur.016005746571.56|1
ur.015352665653.34|ur.011667165701.02|1
ur.015352665653.34|ur.013203070273.57|1
ur.013263404343.05|ur.012561425621.14|4
ur.013263404343.05|ur.013112540471.56|1
ur.013263404343.05|ur.0721257210.28|1
ur.013263404343.05|ur.010470711175.29|1
ur.013263404343.05|ur.011615534125.81|1
ur.013263404343.05|ur.016005746571.56|1
ur.013263404343.05|ur.011667165701.02|1
ur.013263404343.05|ur.013203070273.57|1
ur.013263404343.05|ur.016075020111.69|1
ur.013263404343.05|ur.016307355763.34|1
ur.012561425621.14|ur.01307130010.29|1
ur.012561425621.14|ur.013112540471.56|1
ur.012561425621.14|ur.0721257210.28|1
ur.012561425621.14|ur.010470711175.29|1
ur.012561425621.14|ur.011615534125.81|1
ur.012561425621.14|ur.016005746571.56|1
ur.012561425621.14|ur.011667165701.02|1
ur.012561425621.14|ur.013203070273.57|1
ur.012561425621.14|ur.016075020111.69|1
ur.012561425621.14|ur.016307355763.34|1
ur.01014615471.74|ur.012041054001.87|1
ur.01014615471.74|ur.01206767217.15|1
ur.01014615471.74|ur.016334316153.89|1
ur.01014615471.74|ur.015161536125.41|1
ur.01206767217.15|ur.012041054001.87|1
ur.01206767217.15|ur.016334316153.89|1
ur.01206767217.15|ur.015161536125.41|1
ur.016334316153.89|ur.012041054001.87|1
ur.016334316153.89|ur.015161536125.41|1
ur.012041054001.87|ur.015161536125.41|1
ur.0702657043.11|ur.012137371515.19|1
ur.0702657043.11|ur.013150070613.88|1
ur.0702657043.11|ur.0714500516.26|1
ur.0702657043.11|ur.0617343710.37|1
ur.013153602042.70|ur.011403412052.00|1
ur.013153602042.70|ur.016262143321.19|1
ur.013153602042.70|ur.01112621172.58|1
