source|target|weight
ur.0760601756.09|ur.016363614222.68|2
ur.0760601756.09|ur.014152014735.71|2
ur.0760601756.09|ur.0620644104.36|2
ur.0760601756.09|ur.0763521661.41|2
ur.0760601756.09|ur.0760601756.09|2
ur.0760601756.09|ur.0772277102.18|2
ur.0760601756.09|ur.01161633026.26|1
ur.0760601756.09|ur.01177674512.28|1
ur.0760601756.09|ur.01201357361.13|1
ur.0760601756.09|ur.01205435531.41|1
ur.0760601756.09|ur.01215535225.46|1
ur.0760601756.09|ur.01227761764.71|1
ur.0760601756.09|ur.01240545576.43|1
ur.0760601756.09|ur.013022100313.56|1
ur.0760601756.09|ur.01306513376.45|1
ur.0760601756.09|ur.01347445124.93|1
ur.0760601756.09|ur.01367545054.28|1
ur.0760601756.09|ur.014030704113.15|1
ur.0760601756.09|ur.01152722774.49|1
ur.0760601756.09|ur.010755450661.75|1
ur.0760601756.09|ur.01076516013.05|1
ur.0760601756.09|ur.01124740433.08|1
ur.0760601756.09|ur.01150436544.80|1
ur.0760601756.09|ur.014312157652.15|1
ur.0760601756.09|ur.014732510515.04|1
ur.0760601756.09|ur.0702226135.66|1
ur.0760601756.09|ur.0731112626.37|1
ur.0760601756.09|ur.0732136766.65|1
ur.0760601756.09|ur.0757770613.51|1
ur.0760601756.09|ur.016603011744.36|1
ur.0760601756.09|ur.015055663735.33|1
ur.0760601756.09|ur.015122466466.66|1
ur.0760601756.09|ur.016250557662.94|1
ur.0760601756.09|ur.016407141111.81|1
ur.0760601756.09|ur.016552070371.96|1
ur.0760601756.09|ur.016626773715.87|1
ur.0760601756.09|ur.0606703734.66|1
ur.0760601756.09|ur.0637616634.28|1
ur.01105323735.15|ur.0721730631.45|12
ur.01105323735.15|ur.01207120103.29|11
ur.01105323735.15|ur.07423561367.62|6
ur.01105323735.15|ur.0721775233.60|5
ur.01105323735.15|ur.0657076451.24|5
ur.01105323735.15|ur.0722660612.29|4
ur.01105323735.15|ur.010546143103.08|4
ur.01105323735.15|ur.0766143253.20|3
ur.01105323735.15|ur.01242565474.00|3
ur.01105323735.15|ur.01100431331.04|3
ur.01105323735.15|ur.0640512403.86|3
ur.01105323735.15|ur.011033016243.08|2
ur.01105323735.15|ur.011535264111.51|2
ur.01105323735.15|ur.01332351610.88|2
ur.01105323735.15|ur.016026302173.26|2
ur.01105323735.15|ur.012073201224.71|2
ur.01105323735.15|ur.01167557463.05|2
ur.01105323735.15|ur.01212135660.92|2
ur.01105323735.15|ur.0767105504.29|2
ur.01105323735.15|ur.0772322701.64|1
ur.01105323735.15|ur.07747523442.25|1
ur.01105323735.15|ur.0766475362.52|1
ur.01105323735.15|ur.0765302734.41|1
ur.01105323735.15|ur.0763244404.65|1
ur.01105323735.15|ur.0704160417.51|1
ur.01105323735.15|ur.0642343627.68|1
ur.01105323735.15|ur.0650322642.18|1
ur.01105323735.15|ur.0672003263.22|1
ur.01105323735.15|ur.0674632425.14|1
ur.01105323735.15|ur.0700233055.89|1
ur.01105323735.15|ur.0702657043.11|1
ur.01105323735.15|ur.0714500516.26|1
ur.01105323735.15|ur.0762547565.51|1
ur.01105323735.15|ur.0720362162.70|1
ur.01105323735.15|ur.0723650047.49|1
ur.01105323735.15|ur.0727564714.69|1
ur.01105323735.15|ur.0732374135.99|1
ur.01105323735.15|ur.07364047765.73|1
ur.01105323735.15|ur.07431171275.26|1
ur.01105323735.15|ur.0626543213.43|1
ur.01105323735.15|ur.0621336461.89|1
ur.01105323735.15|ur.0620564173.19|1
ur.01105323735.15|ur.0604133562.55|1
ur.01105323735.15|ur.010340372063.09|1
ur.01105323735.15|ur.01046572263.84|1
ur.01105323735.15|ur.010524013447.10|1
ur.01105323735.15|ur.010542646154.35|1
ur.01105323735.15|ur.010553577775.14|1
ur.01105323735.15|ur.01064146320.53|1
ur.01105323735.15|ur.01066611756.19|1
ur.01105323735.15|ur.011003777327.22|1
ur.01105323735.15|ur.01104531757.05|1
ur.01105323735.15|ur.01106534704.27|1
ur.01105323735.15|ur.01107342035.04|1
ur.01105323735.15|ur.01125520126.07|1
ur.01105323735.15|ur.011402163665.54|1
ur.01105323735.15|ur.01146660016.40|1
ur.01105323735.15|ur.01151247471.23|1
ur.01105323735.15|ur.01032316131.09|1
ur.01105323735.15|ur.01027345757.23|1
ur.01105323735.15|ur.01024231643.99|1
ur.01105323735.15|ur.010205212117.50|1
ur.01105323735.15|ur.010001154103.66|1
ur.01105323735.15|ur.01000602647.66|1
ur.01105323735.15|ur.010032732315.84|1
ur.01105323735.15|ur.01011650355.04|1
ur.01105323735.15|ur.01016454100.33|1
ur.01105323735.15|ur.01157072046.40|1
